"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ALFRED","Henderson","TX",1848,1850,,
"ALLEN'S GROVE","Grayson","TX",1848,1849,,
"ALTON","Denton","TX",1848,1859,,
"BEAVER","Anderson","TX",1848,1868,,
"BLACK HILL","Rockwall","TX",1848,1856,,
"BLACK JACK","Fayette","TX",1848,1851,,
"BLACK JACK  GROVE","Hopkins","TX",1848,1896,,
"BRYANT'S STATION","Milam","TX",1848,1875,30.852133,-97.1894387
"BUENA VISTA","Shelby","TX",1848,1886,,
"CEDAR LAKE","Brazoria","TX",1848,1854,29.1925638,-95.082994
"CENTREVILLE","Gonzales","TX",1848,1849,,
"COURTLAND","Shelby","TX",1848,1851,,
"CRAWFORD SEMINARY","Cherokee","KS",1848,1863,,
"DENTON CREEK","Denton","TX",1848,1879,33.0417894,-97.1933474
"DUCK CREEK","Dallas","TX",1848,1887,32.912624,-96.6388833
"EDEN","Harris","TX",1848,1851,,
"FALLS OF BRAZOS","Falls","TX",1848,1849,,
"FARMER'S BRANCH","Dallas","TX",1848,1954,32.9346625,-96.8883794
"FORKS OF TRINITY","Rockwall","TX",1848,1848,,
"FREDERICKSBURG","Gillespie","TX",1848,,30.2861599,-98.8865786
"GEORGETOWN","Williamson","TX",1848,,30.622687,-97.687991
"GRAND BLUFF","Orange","TX",1848,1848,,
"GRAY ROCK","Franklin","TX",1848,1906,33.1590068,-95.1268847
"GREEN'S BLUFF","Orange","TX",1848,1852,30.0929879,-93.7365549
"GULF PRAIRIE","Brazoria","TX",1848,1866,,
"GUM CREEK","Cherokee","TX",1848,1850,31.7876721,-95.3413376
"HICKORY HILL","Cass","TX",1848,1877,32.8929114,-94.5435336
"IONI","Anderson","TX",1848,1900,,
"JONES'","Panola","TX",1848,1852,,
"KEITH'S","Franklin","TX",1848,1850,33.3420564,-95.2816133
"LAKE CREEK","Delta","TX",1848,,33.4466181,-95.5879307
"LICKE","Fannin","TX",1848,1861,,
"LOCKHART","Caldwell","TX",1848,,29.8836665,-97.6741435
"MCKINNEY","Collin","TX",1848,,33.202118,-96.637342
