"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"CINCINNATI","Walker","TX",1837,1893,30.9035212,-95.545221
"CHAMBERS' CREEK","Ellis","TX",1844,1891,,
"WHEELOCK","McCurtain","OK",1845,1895,33.9894444,-94.9902778
"RIO GRANDE CITY","Starr","TX",1849,1895,26.390334,-98.816157
"NAPA CITY","Napa","CA",1850,1890,38.2971367,-122.2855293
"FORT UNION","Mora","NM",1851,1891,35.907262,-105.0122258
"HORR'S RANCH","Stanislaus","CA",1851,1895,,
"MORMON ISLAND","Sacramento","CA",1851,1890,38.703514,-121.1174457
"NORTH CANYONVILLE","Douglas","OR",1852,1892,42.9273406,-123.2811748
"BLUE BRANCH","Lee","TX",1854,1895,30.4099299,-97.1611008
"FOREST CITY","Sierra","CA",1854,1895,39.4912848,-120.8530022
"SCYENE","Dallas","TX",1854,1895,,
"STEILACOOM CITY","Pierce","WA",1854,1895,,
"CENTREVILLE","Alameda","CA",1855,1893,37.5482697,-121.9885719
"TRINITY CENTRE","Trinity","CA",1855,1894,40.9832011,-122.6997441
"TUHUNGA","Los Angeles","CA",1855,1894,34.252225,-118.2884105
"AGNES CITY","Lyon","KS",1856,1891,38.6661186,-96.2794422
"BIG SPRINGS","Douglas","KS",1856,1894,39.0130561,-95.4849762
"HANSONVILLE","Butte","CA",1856,1892,39.4365555,-121.3260739
"KING'S RIVER","Fresno","CA",1856,1895,36.7338394,-119.4979071
"NEMAHA CITY","Nemaha","NE",1856,1895,40.3383347,-95.6730453
"ALPINE CITY","Utah","UT",1857,1895,40.4532834,-111.7779865
"AURORA MILLS","Marion","OR",1857,1894,45.2230465,-122.7596478
"HELENA","Johnson","NE",1857,1891,40.5005551,-96.2497325
"MILL CREEK","Salt Lake","UT",1857,1895,40.6893914,-111.8585458
"OMEGA","Nevada","CA",1857,1891,39.3332326,-120.7493825
"ROSEBURGH","Douglas","OR",1857,1894,43.2084495,-123.3422935
"BLACK JACK","Douglas","KS",1858,1895,38.7677853,-95.115803
"BRUCEPORT","Pacific","WA",1858,1895,46.6792646,-123.9001649
"CAIRO","Jasper","TX",1858,1895,,
"COVINGTON","Dakota","NE",1858,1893,42.4861054,-96.4114183
"CRESCO","Anderson","KS",1858,1891,38.303353,-95.4344249
"EMPIRE CITY","Coos","OR",1858,1894,43.3916667,-124.2733333
"INDIAN SPRINGS","Nevada","CA",1858,1893,39.1793385,-121.1938434
"NEW DUNGNESS","Clallam","WA",1858,1892,48.1467597,-123.1232335
"SEARSVILLE","San Mateo","CA",1858,1893,37.4024395,-122.2452445
"SKOKOMISH","Mason","WA",1858,1890,47.3334263,-123.1573772
"WAUSHARA","Lyon","KS",1858,1895,38.7380622,-96.0438807
"GLEN ROCK","Nemaha","NE",1859,1894,40.4436122,-95.8911111
"GRIGSBY'S BLUFF","Jefferson","TX",1859,1893,29.9913244,-93.9585067
"KINGSTON","Fresno","CA",1859,1890,36.4236111,-119.6936111
"NUECES","Nueces","TX",1859,1893,27.8141925,-97.4619374
"RANDOLPH","Coos","OR",1859,1893,43.1678871,-124.3565029
"FORT ABERCROMBIE","Richland","ND",1860,1892,46.4477384,-96.7303557
"SANEL","Mendocino","CA",1860,1891,38.9676764,-123.0663903
"SOLOMON CITY","Dickinson","KS",1860,1894,38.9194442,-97.371137
"VIRGIN CITY","Washington","UT",1860,1895,37.208316,-113.1882792
"BUCK'S RANCH","Plumas","CA",1861,1894,,
"HOOPA VALLEY","Humboldt","CA",1861,1895,41.0490187,-123.6756124
"LAKE VALLEY","El Dorado","CA",1861,1895,38.9299079,-120.0046264
"LINCOLN CITY","Summit","CO",1861,1894,,
"MARTINS FERRY","Humboldt","CA",1861,1891,41.2104034,-123.7547847
"ORO CITY","Lake","CO",1861,1895,39.2508229,-106.2925238
"COTTONWOOD SPRINGS","Lincoln","NE",1862,1895,41.0027818,-100.5031937
"EL PASO","El Paso","CO",1862,1893,38.8338816,-104.8213634
"PLEASANT RIDGE","Leavenworth","KS",1862,1895,39.3627893,-95.055682
"TELEGRAPH CITY","Calaveras","CA",1862,1894,37.93437,-120.7399315
"WASHOE CITY","Washoe","NV",1862,1894,39.3201879,-119.8096307
"BOONEVILLE","Pueblo","CO",1863,1891,38.248613,-104.2569104
"PIERCE CITY","Clearwater","ID",1863,1892,,
"WARD DISTRICT","Boulder","CO",1863,1894,,
"CENTREVILLE","Boise","ID",1864,1893,43.9126714,-115.8923353
"FAIR VIEW","Sanpete","UT",1864,1894,39.626351,-111.4396325
"HUTCHINSON","Jefferson","CO",1865,1894,39.68153,-105.14555
"UNION RIDGE","Clark","WA",1865,1890,45.8178928,-122.7420454
"DEER LODGE CITY","Powell","MT",1866,1894,46.3971496,-112.7358719
"EAGLE ROCK","Bonneville","ID",1866,1890,43.4868582,-112.045249
"EAST PORTLAND","Multnomah","OR",1866,1892,45.5153962,-122.6603733
"EMPIRE CITY","Carson City","NV",1866,1895,39.1849106,-119.7132348
"FORT CUMMINGS","Luna","NM",1866,1891,32.4656414,-107.6464164
"BLAKELY","Kitsap","WA",1867,1890,47.5950976,-122.4804089
"FORT BUFORD","Williams","ND",1867,1895,47.9863889,-104.0013889
"FREEPORT","Cowlitz","WA",1867,1893,,
"GALLATIN","Gallatin","MT",1867,1890,45.9277059,-111.4980234
"HAYS CITY","Ellis","KS",1867,1895,38.8791783,-99.3267702
"LONDON","Nemaha","NE",1867,1895,40.423613,-95.7613835
"SHERMAN CITY","Cherokee","KS",1867,1894,37.2572835,-95.0571872
"SLAUGHTER","King","WA",1867,1893,47.3073228,-122.2284532
"SUMNERVILLE","Ottawa","KS",1867,1895,39.1975002,-97.7364259
"TWIN RIVER","Nye","NV",1867,1893,38.9446518,-117.2753686
"WHITE RIVER","King","WA",1867,1890,47.4742662,-122.2515112
"AGUA NEGRA","Mora","NM",1868,1892,36.0353099,-105.388069
"BEARTOWN","Powell","MT",1868,1892,,
"BUTTE CITY","Silver Bow","MT",1868,1894,46.0038153,-112.5347447
"CAMP GRANT","Humboldt","CA",1868,1895,40.3395846,-123.8972616
"EDEN","Lincoln","SD",1868,1892,43.1302778,-96.4536111
"EIGHY MILE GROVE","Cass","NE",1868,1893,40.9513886,-95.9994558
"FALL LEAF","Leavenworth","KS",1868,1894,38.9741699,-95.1105257
"GLENN","Johnson","KS",1868,1895,38.9888948,-94.6669027
"HILLSDALE","Nemaha","NE",1868,1891,40.2883337,-95.6013753
"HITES COVE","Mariposa","CA",1868,1890,37.6407644,-119.8490623
"OSAGE MISSION","Neosho","KS",1868,1895,37.5189412,-95.1733086
"TIMBERVILLE","Dodge","NE",1868,1894,41.5416672,-96.6266939
"UTE CREEK","Colfax","NM",1868,1895,36.5580893,-105.1150045
"ALEMAN","Sierra","NM",1869,1890,32.9897967,-107.0075202
"CERRO GORDO","Inyo","CA",1869,1895,36.5393799,-117.791744
"FARMERS VALLEY","Hamilton","NE",1869,1894,40.7216773,-97.8536606
"IDRIA","San Benito","CA",1869,1894,36.4169007,-120.6743379
"JUANIATA","Pueblo","CO",1869,1893,,
"LEESBURGH","Lemhi","ID",1869,1894,45.223808,-114.1139647
"McCLELLAN GULCH","Powell","MT",1869,1890,,
"MOORES STATION","Butte","CA",1869,1892,39.3290561,-121.5338564
"MULBERRY GROVE","Crawford","KS",1869,1892,37.5569911,-94.6219034
"NEW IDRIA","San Benito","CA",1869,1894,36.4144008,-120.6746157
"PINO","Placer","CA",1869,1890,38.8212889,-121.1930041
"SAINT LOUIS","Broadwater","MT",1869,1895,46.3385415,-111.6994221
"SALMON CITY","Lemhi","ID",1869,1895,,
"SWAN LAKE","Turner","SD",1869,1893,43.231653,-97.1067199
"UNIONVILLE","Lewis & Clark","MT",1869,1894,,
"VALLEY BROOK","Osage","KS",1869,1890,38.7186178,-95.5655367
"WHITE SWAN","Charles Mix","SD",1869,1892,,
"YOCUMVILLE","Siskiyou","CA",1869,1891,41.222912,-123.2494916
"ZEM ZEM","Napa","CA",1869,1890,38.753514,-122.2849771
"BIG DRY CREEK","Fresno","CA",1870,1893,,
"BLUE VALLEY","York","NE",1870,1895,40.7572309,-97.4539388
"CHOTEAU CREEK","Bon Homme","SD",1870,1892,42.8424982,-98.1534089
"CURRANT CREEK","Fremont","CO",1870,1894,38.5886059,-105.4138817
"CURRY'S CREEK","Kendall","TX",1870,1894,29.7868867,-98.7150252
