"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"ACELANUS","Contra Costa","CA",1854,1855,,
"ALAMEDA","Alameda","CA",1854,,37.7652065,-122.2416355
"ALKI","King","WA",1854,1855,47.5773324,-122.4075318
"ALVARADO","Johnson","TX",1854,,32.41565,-97.210747
"ALVISO","Santa Clara","CA",1854,,37.426051,-121.9752373
"BELMONT","San Mateo","CA",1854,,37.5224367,-122.2758008
"BENTON","Harrison","TX",1854,1857,,
"BEVILPORT","Jasper","TX",1854,1899,30.9232547,-94.1551919
"BLACK OAK","Hopkins","TX",1854,1905,32.9723427,-95.4307833
"BLUE BLUFF","McLennan","TX",1854,1856,,
"BLUE BRANCH","Lee","TX",1854,1895,30.4099299,-97.1611008
"BLUE RIDGE","Falls","TX",1854,1857,31.2762892,-96.7413707
"BRACKENVILLE","Milam","TX",1854,1855,,
"BRIDGEPORT","Polk","OR",1854,1874,44.8392848,-123.3642696
"BRIGHT STAR","Hopkins","TX",1854,1871,,
"BROCKSVILLE","Ellis","TX",1854,1868,,
"BUNN'S BLUFF","Orange","TX",1854,1900,30.1679889,-94.1085134
"CAMPO SECO","Calaveras","CA",1854,1963,38.2279734,-120.8532709
"CAMPTONVILLE","Yuba","CA",1854,,39.4518363,-121.05051
"CANAL CREEK","Sanpete","UT",1854,1856,39.4760733,-111.5629709
"CANEY HEAD","Hardin","TX",1854,1866,30.4993735,-94.1674086
"CARMEL","Walker","TX",1854,1855,,
"CARRIZO","Zapata","TX",1854,1901,,
"CASTLE ROCK","Cowlitz","WA",1854,,46.2751111,-122.9076141
"CEDAR CITY","Iron","UT",1854,,37.6766436,-113.0571708
"CEDAR FORK","Kaufman","TX",1854,1866,,
"CENTERVILLE","Davis","UT",1854,,40.9205768,-111.8784514
"CENTRE","Rusk","TX",1854,1858,,
"CHEROKEE","Butte","CA",1854,1912,40.104613,-120.9391224
"CHINESE CAMP","Tuolumne","CA",1854,,37.8710381,-120.4332511
"CLAYTON","Grayson","TX",1854,1866,,
"CLINTON","Nevada","CA",1854,1857,,
"COLUSA","Colusa","CA",1854,,39.2143343,-122.0094175
"CORDELIA","Solano","CA",1854,1943,38.2104715,-122.1358015
"CORVALLIS","Benton","OR",1854,,44.575,-123.2669444
"COWLITZ","Lewis","WA",1854,1906,46.4739967,-122.4789987
"D'HANIS","Medina","TX",1854,,29.331165,-99.28077
"DONA ANA","Dona Ana","NM",1854,,32.3895356,-106.8119505
"DOUGLASSVILLE","Cass","TX",1854,,33.1918274,-94.3544732
"DRY CREEK","Yuba","CA",1854,1858,39.2212809,-121.408018
"DUNCAN'S WOODS","Orange","TX",1854,1866,,
"DURA","Brazoria","TX",1854,1854,,
"DUROC","Brazoria","TX",1854,1855,,
"ECLETO","Karnes","TX",1854,1871,29.0463605,-97.751388
"ELK GROVE","Sacramento","CA",1854,,38.4087993,-121.3716178
"ELLIOTT'S RANCH","Sacramento","CA",1854,1857,,
"ELM CREEK","Bell","TX",1854,1876,,
"FAIRMOUNT","Sabine","TX",1854,1937,31.1968557,-93.7332357
"FARMINGTON","Davis","UT",1854,,40.9776,-111.889
"FORBESTOWN","Butte","CA",1854,,39.51711,-121.267184
"FOREST CITY","Sierra","CA",1854,1895,39.4912848,-120.8530022
"FORLORN HOPE","Merced","CA",1854,1861,37.4916031,-120.531029
"FORT CALHOUN","Washington","NE",1854,,41.4558282,-96.0264024
"FORT JOHN","Coshen","WY",1854,1854,,
"FORT MCKAVETT","Menard","TX",1854,,30.828923,-100.104875
"FRENCH CAMP","San Joaquin","CA",1854,,37.8843699,-121.2704999
"GALESVILLE","Douglas","OR",1854,1916,42.7781753,-123.2958964
"GARCITAS","Victoria","TX",1854,1855,,
"GATES","Coryell","TX",1854,1854,,
"GATESVILLE","Coryell","TX",1854,,31.433759,-97.748287
"GEORGIANA","Sacramento","CA",1854,1858,,
"GOSHEN","Walker","TX",1854,1866,30.6221418,-95.7213361
"GRAFTON","Yolo","CA",1854,1925,38.7996238,-121.718297
"GRAHAM'S MILLS","Shelby","TX",1854,,,
"GRAND ISLAND","Colusa","CA",1854,1919,39.0696163,-121.8969137
"GRAND MOUND","Thurston","WA",1854,1955,46.7951006,-123.045693
"GRAND PRAIRIE","Lane","OR",1854,1860,44.1495682,-123.2006476
"GREEN VALLEY","El Dorado","CA",1854,1911,38.6971254,-121.008554
"HACKBERRY GROVE","Grayson","TX",1854,1854,,
"HARMONY HILL","Rusk","TX",1854,1905,32.2801569,-94.56576
"HASKELL'S RANCH","Sutter","CA",1854,1856,,
"HAVANA","Cass","TX",1854,1866,,
"HICKORY GROVE","Smith","TX",1854,1856,,
"HIGHLAND","Lewis","WA",1854,1864,48.0270044,-122.0798278
"HILLIARD'S","Shelby","TX",1854,1869,,
"HILLSBORO","Hill","TX",1854,,32.0122382,-97.1317168
"HOME","Salt Lake","UT",1854,1857,,
"HORTONSVILLE","Karnes","TX",1854,1855,,
"IOWA CITY","Placer","CA",1854,1901,39.1085091,-120.8593823
"JACKSONVILLE","Jackson","OR",1854,,42.3172222,-122.9583333
"KAYSVILLE","Davis","UT",1854,,41.0357,-111.9356
"KENTUCKY TOWN","Grayson","TX",1854,1924,33.5217745,-96.4388737
"KNOXVILLE","Cherokee","TX",1854,1875,32.0973837,-95.0857768
"LA GRANGE","Stanislaus","CA",1854,,37.6635433,-120.4635289
"LAKE RIVER","Clark","WA",1854,1864,45.8437258,-122.7806578
"LAS CRUCES","Dona Ana","NM",1854,,32.3123157,-106.7783374
"LAUREL","Douglas","OR",1854,1855,43.32095,-123.3406306
"LEWISTON","Trinity","CA",1854,,40.7073681,-122.8075227
"LINEVILLE","Panola","TX",1854,1868,,
"LONE CITY","Utah","UT",1854,1857,,
"MADISONVILLE","Madison","TX",1854,,30.95183,-95.913814
"MANCHAC","Hays","TX",1854,1860,,
"MARYSVILLE","Marshall","KS",1854,,39.8394023,-96.6438111
"MAYSVILLE","Karnes","TX",1854,1855,,
"McDERMOTT'S BRIDGE","San Joaquin","CA",1854,1856,,
"McKENZIE","Lane","OR",1854,1859,44.0887359,-123.0511972
"MICHIGAN BLUFF","Placer","CA",1854,1943,39.0429556,-120.7413191
"MILFORD","Ellis","TX",1854,,32.1257753,-96.9451043
"MILLINO","Colorado","TX",1854,1854,,
"MISSION VALLEY","Victoria","TX",1854,1927,28.8987526,-97.1902258
"MONTEZUMA","Tuolumne","CA",1854,1887,38.1738054,-119.6190601
"MOUNT HOOD","Yamhill","OR",1854,1862,45.1276176,-123.1178793
"MOUNT SCOTT","Douglas","OR",1854,1886,43.3026177,-123.1622885
"MOUNTAIN SPRINGS","Placer","CA",1854,1863,39.180731,-120.8557726
"MOUNTAIN VIEW","Santa Clara","CA",1854,,37.3860517,-122.0838511
"MURRAY","Panola","TX",1854,1855,,
"MYRTLE CREEK","Douglas","OR",1854,,43.0201174,-123.2931205
"NAVASOTA","Grimes","TX",1854,1862,30.3875894,-96.0883516
"NEWTOWN","El Dorado","CA",1854,1912,38.7043483,-120.6790971
"NUECESTOWN","Nueces","TX",1854,1927,,
"OCEOLA","Washington","OR",1854,1863,45.4998397,-122.8012103
"OGDEN CITY","Weber","UT",1854,1888,41.223,-111.9738304
