"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"KIDRON","Sequoyah","OK",1835,1869,,
"NASHVILLE","Milam","TX",1835,1868,30.825778,-96.652877
"BIG CREEK","Fort Bend","TX",1838,1867,29.3691298,-95.5768892
"PORT CADDO","Harrison","TX",1839,1866,,
"WEST LIBERTY","Liberty","TX",1839,1867,30.0632707,-94.799923
"SMITHFIELD","Polk","TX",1840,1871,,
"MOORES'","Bowie","TX",1841,1866,,
"PULASKI","Panola","TX",1841,1867,,
"BOONVILLE","Brazos","TX",1842,1866,30.6707532,-96.3246843
"ALTA SPRINGS","Falls","TX",1844,1868,31.2860113,-96.6705351
"BEDI","Grimes","TX",1845,1866,,
"CUNNINGHAM'S","Bastrop","TX",1845,1870,,
"GRAND CANE","Liberty","TX",1845,1870,30.3210425,-94.7504803
"BEAR CREEK","Sabine","TX",1847,1866,31.2943526,-93.7837938
"BUFFALO","Henderson","TX",1847,1868,32.2723687,-96.2799781
"CEDAR BAYOU","Chambers","TX",1847,1866,,
"GLADE SPRING","Harrison","TX",1847,1866,,
"SAN JACINTO","Harris","TX",1847,1866,29.7056271,-95.1154866
"TARRANT","Hopkins","TX",1847,1871,,
"BEAVER","Anderson","TX",1848,1868,,
"GULF PRAIRIE","Brazoria","TX",1848,1866,,
"MCMILLAN'S","Panola","TX",1848,1866,,
"MUSKETE","Navarro","TX",1848,1867,,
"PINE TREE","Gregg","TX",1848,1871,32.5145915,-94.7827125
"REED'S SETTLEMENT","Panola","TX",1848,1868,,
"RICHLAND CROSSING","Navarro","TX",1848,1871,,
"WHITE COTTAGE","Shelby","TX",1848,1866,,
"ASH SPRING","Harrison","TX",1849,1869,,
"FLORA","Smith","TX",1849,1866,,
"FOUR MILE PRAIRIE","Van Zandt","TX",1849,1866,,
"GILLELAND CREEK","Travis","TX",1849,1866,30.2263228,-97.5405548
"GRAND SALINE","Mayes","OK",1849,1866,,
"LIVE OAK","Dewitt","TX",1849,1868,,
"PLEASANT HILL","Hopkins","TX",1849,1866,,
"SULPHUR SPRINGS","Cherokee","TX",1849,1869,,
"ARMSTRONG ACADEMY","Bryan","OK",1850,1869,34.0506514,-96.1088735
"BAPTIST MISSION","Adair","OK",1850,1866,,
"COTTON PLANT","Rusk","TX",1850,1866,,
"EARPVILLE","Gregg","TX",1850,1868,,
"HOOKER","Hunt","TX",1850,1868,,
"NAVARRO","Leon","TX",1850,1866,,
"PROVIDENCE HILL","Hardin","TX",1850,1867,,
"RABBIT CREEK","Gregg","TX",1850,1866,32.4401498,-94.7838238
"TROY","Freestone","TX",1850,1866,,
"UNION BRIDGE","Titus","TX",1850,1866,,
"WACO VILLAGE","McLennan","TX",1850,1866,,
"BIRDSVILLE","Tarrant","TX",1851,1868,32.8045737,-97.2594592
"COPANO","Refugio","TX",1851,1867,,
"MAGNOLIA","Anderson","TX",1851,1871,31.6590616,-95.737735
"POINT MONTEREY","Marion","TX",1851,1867,,
"SEVEN LEAGUES","Smith","TX",1851,1869,32.2540406,-95.4260661
"TAOS","Navarro","TX",1851,1870,,
"TIMBER CREEK","Hunt","TX",1851,1871,33.0684499,-96.0027471
"UMPQUA CITY","Douglas","OR",1851,1869,43.7095613,-124.1651146
"BILLUM'S CREEK","Tyler","TX",1852,1866,31.007139,-94.4338114
"FOSTER'S BAR","Yuba","CA",1852,1866,39.436002,-121.1299567
"GREEN SPRINGS","Tuolumne","CA",1852,1869,37.8902043,-120.563534
"HALL'S BLUFF","Houston","TX",1852,1866,31.3593462,-95.6593966
"HAMBURG","Van Zandt","TX",1852,1866,,
"HERRINGTON'S","Angelina","TX",1852,1866,31.252133,-94.4263131
"HOLLY SPRING","Wood","TX",1852,1866,32.8251295,-95.1918877
"KEECHIL","Freestone","TX",1852,1866,,
"OPHIRVILLE","Placer","CA",1852,1866,,
"PIERPONT PLACE","Dewitt","TX",1852,1870,,
"POINT PLEASANT","Gregg","TX",1852,1871,,
"RETINA","Hopkins","TX",1852,1867,,
"SAND SPRING","Wood","TX",1852,1866,,
"WHITE ROCK","Hill","TX",1852,1868,,
"WOODBOROUGH","Grayson","TX",1852,1866,,
"BONITA","Guadalupe","TX",1853,1866,,
"DON PEDRO'S BAR","Tuolumne","CA",1853,1866,,
