"Post.Office","County","State","Established","Discontinued","Latitude","Longitude"
"NACOGDOCHES","Nacogdoche","TX",1779,,,
"LAWTON","Cherokee","KS",1800,1985,37.2220015,-94.6360652
"HUFSMITH","Harris","TX",1802,1963,30.1236,-95.5964
"SAN FELIPE","Austin","TX",1826,,29.797487,-96.1004578
"GOLIAD","Goliad","TX",1829,,28.665667,-97.393695
"GALVESTON","Galveston","TX",1830,,29.302439,-94.795978
"CHOCTAW AGENCY","LeFlore","OK",1833,1860,,
"EAGLETOWN","McCurtain","OK",1834,,34.0419086,-94.5749681
"BEAUMONT","Jefferson","TX",1835,,30.084555,-94.102195
"BRAZORIA","Brazoria","TX",1835,,29.0524656,-95.570007
"COLUMBIA","Brazoria","TX",1835,1927,29.1427466,-95.6152241
"EGYPT","Wharton","TX",1835,,29.4059379,-96.2382848
"FANTHORP'S","Grimes","TX",1835,1849,,
"GONZALES","Gonzales","TX",1835,,29.506282,-97.454376
"KIDRON","Sequoyah","OK",1835,1869,,
"LIBERTY","Liberty","TX",1835,,30.059139,-94.80141
"MATAGORDA","Matagorda","TX",1835,,28.690572,-95.968545
"NASHVILLE","Milam","TX",1835,1868,30.825778,-96.652877
"REFUGIO","Refugio","TX",1835,,28.299551,-97.27312
"SAN ANTONIO","Bexar","TX",1835,,29.4241219,-98.4936282
"SAN AUGUSTINE","San Augustine","TX",1835,,31.5294207,-94.111699
"SAN PATRICIO","San Patricio","TX",1835,1929,27.9544619,-97.7719419
"TEXANA","Jackson","TX",1835,1885,,
"VELASCO","Brazoria","TX",1835,1957,28.9647505,-95.3646628
"VICTORIA","Victoria","TX",1835,,28.8141042,-96.9885505
"WASHINGTON","Washington","TX",1835,,30.3253635,-96.1579814
"ZAVALLA","Jasper","TX",1835,1856,31.0090858,-94.1382479
"JASPER","Jasper","TX",1836,,30.9216834,-94.0027802
"BASTROP","Bastrop","TX",1837,,30.1118657,-97.3202881
"CANEY","Matagorda","TX",1837,1914,28.9635885,-95.8546775
"CEDAR CREEK","Washington","TX",1837,1848,30.1968822,-96.7419212
"CINCINNATI","Walker","TX",1837,1893,30.9035212,-95.545221
"HOUSTON","Harris","TX",1837,,29.7656154,-95.3646003
"HUNTSVILLE","Walker","TX",1837,,30.724694,-95.553831
"MONTGOMERY","Montgomery","TX",1837,,30.3846505,-95.6624458
"MONTVILLE","Washington","TX",1837,1851,,
"PATTILLO'S","Orange","TX",1837,1853,,
"SALEM","Newton","TX",1837,1897,30.5424254,-93.7679522
"SHELBYVILLE","Shelby","TX",1837,,31.7591,-94.078899
"ANAHUAC","Chambers","TX",1838,,29.769285,-94.682962
"BELGRADE","Newton","TX",1838,1937,30.6857573,-93.6635081
"BIG CREEK","Fort Bend","TX",1838,1867,29.3691298,-95.5768892
"COLUMBUS","Colorado","TX",1838,,29.705774,-96.5508459
"CROCKETT","Houston","TX",1838,,31.317873,-95.455904
"FRANKLIN","Robertson","TX",1838,,31.027431,-96.485471
"HAMILTON","Shelby","TX",1838,1874,31.6643443,-94.1946425
"HODGE'S BEND","Fort Bend","TX",1838,1858,29.6772891,-95.6767556
"INDEPENDENCE","Washington","TX",1838,1958,30.319377,-96.3466306
"RICHMOND","Fort Bend","TX",1838,,29.5378718,-95.701752
"SPRING HILL","Harrison","TX",1838,,32.5198712,-94.5407586
"SWARTWOUT","Polk","TX",1838,1875,30.6385306,-95.0049352
"ARANSAS","Aransas","TX",1839,1862,,
"AUSTIN","Travis","TX",1839,,30.2732637,-97.7652836
"CLARKSVILLE","Red River","TX",1839,,33.613386,-95.050756
"DAINGERFIELD","Morris","TX",1839,,33.0328275,-94.7237824
"DE KALB","Bowie","TX",1839,,33.510049,-94.618811
"DOUGLASS","Nacogdoches","TX",1839,,31.6679205,-94.8861024
"LAGRANGE","Fayette","TX",1839,,29.9055033,-96.876647
"LAMAR","Aransas","TX",1839,1918,28.1394565,-97.0055455
"MARSHALL","Harrison","TX",1839,,32.5409734,-94.3659806
"MITCHELL'S","Madison","TX",1839,1856,,
"PINE ISLAND","Jefferson","TX",1839,1912,30.0563252,-94.2774081
"PLUM GROVE","Fayette","TX",1839,1863,29.9505012,-97.0233174
"PORT CADDO","Harrison","TX",1839,1866,,
"PRESTON","Wharton","TX",1839,1857,,
"RUTERSVILLE","Fayette","TX",1839,1972,29.9477242,-96.7972005
"SABINE CITY","Jefferson","TX",1839,1860,29.7335518,-93.8943327
"SEGUIN","Guadalupe","TX",1839,,29.568028,-97.97045
"SHELBY","Austin","TX",1839,1912,30.0216106,-96.5983064
"SPRING CREEK","Harris","TX",1839,1852,30.0310518,-95.1471529
"TRAVIS","Austin","TX",1839,1878,30.0124447,-96.3352435
"WARREN","Fannin","TX",1839,1876,,
"WEST LIBERTY","Liberty","TX",1839,1867,30.0632707,-94.799923
"ALABAMA","Houston","TX",1840,1878,,
"CHEROKEE AGENCY","Cherokee","OK",1840,1849,,
"CUERO","Dewitt","TX",1840,,,
"ELYSIAN FIELDS","Harrison","TX",1840,,32.3683905,-94.1835923
"LYONS","Fayette","TX",1840,1874,29.6416239,-96.8874805
"PATROON","Shelby","TX",1840,1974,31.6229546,-93.9810245
"PINE CREEK","Red River","TX",1840,1849,33.8662189,-95.0457807
"SAN LUIS","Brazoria","TX",1840,1855,,
"SAN PEDRO","Houston","TX",1840,1857,31.4751791,-95.3780015
"SMITHFIELD","Polk","TX",1840,1871,,
"ZUMWALT'S","Lavaca","TX",1840,,,
"CALDWELL","Burleson","TX",1841,,30.5334114,-96.6946728
"FORT LEAVENWORTH","Leavenworth","KS",1841,,39.355743,-94.925948
"MCGEE'S","San Jacinto","TX",1841,1853,,
"MELROSE","Nacogdoches","TX",1841,1921,31.5615706,-94.4765951
"MILLER'S","Lamar","TX",1841,1849,,
"MOORES'","Bowie","TX",1841,1866,,
"PLUM CREEK","Caldwell","TX",1841,1848,29.8932773,-97.6616661
"PORT LAVACA","Calhoun","TX",1841,,28.6170858,-96.6421337
"PULASKI","Panola","TX",1841,1867,,
"SAVANNAH","Red River","TX",1841,1874,33.5362223,-94.8452148
